youtube_url,hebrew_line_1,hebrew_line_2,hebrew_line_3,english_line_1,english_line_2,english_line_3,song_title,artist_name_1,artist_name_2,artist_name_3,publish_year
https://music.youtube.com/watch?v=qk2ippMcttU,תתחיל!,אנשים שמחים ומבריקים צוחקים,"(דיט, דיט, דיט, דיט, דיט, דיט, דיט-דיט, דיט)","(Dit, dit, dit, dit, dit, dit, dit-dit, dit)",people,"(Dit, dit, dit, dit, dit, dit, dit-dit, dit)",Shiny Happy People,R.E.M.,,,1991
https://music.youtube.com/watch?v=yA5NJ4-YwBU,תן לי קצת יותר זמן,ואהבתנו בוודאי תפרח,תן לי רק עוד קצת זמן,Let's climb it together your hand in mine,And our love will surely grow (Give me just a little more time),And our love will surely grow,Give Me Just a Little More Time,Kylie Minogue,,,1991
https://music.youtube.com/watch?v=w6iSeCTiU88,מוסטנג סאלי,נראה שכדאי שתאט את המוסטנג הזה,"מוסטאנג סאלי, עכשיו מותק",One of these early mornings,"All you wanna do is ride around Sally (ride, Sally, ride)","Now you come around, big fine woman",Mustang Sally,The Commitments,,,1991
https://music.youtube.com/watch?v=gaJtHeLXqJs,"אני כל כך שמח שאת הבחורה שלי, אעשה הכל בשבילך",אתקשר אליך כל לילה ואביא גם פרחים,אני מודה לאל עליך וחושב עליך כל הזמן.,I want you to know I do it all 4 love,"Beautiful, yeah",I love it when we're together,All 4 Love,Color Me Badd,,,1991
https://music.youtube.com/watch?v=Ai4VDgzYr94,רק בחלומותיי,ראיתי איך זה הולך להיות,חיכיתי לרגע הזה,Dreamed the warm skin of your body burning next to mine,"Now we're together, baby, now it's time",Time to make you mine,Time to Make You Mine,Lisa Stansfield,,,1991
https://music.youtube.com/watch?v=MIZ-cbvrjxw,"בניין ישן, רחוב מלוכלך",נשחקו ונלכו ברגליים יחפות,בפנים זה ארוך וכל כך שלם,So Pearly don't you shed more tears,Now look your head's bowed in defeat,You played and lost not won,The Days of Pearly Spencer,Marc Almond,,,1991
https://music.youtube.com/watch?v=hV7vve0ZWNM,מפלס את דרכך במורד רחוב בייקר,אור בראשך ומת ברגליך,"ובכן, עוד יום מטורף",And the one night stand,Another year and then you'll be happy,And it's taken you so long,Baker Street,Undercover,,,1992
https://music.youtube.com/watch?v=W6daGBXZBuQ,היא אומרת 'זה לא אתה - זה אני',"אני צריך קצת זמן, קצת מרחב","מקום למצוא את עצמי שוב, את יודעת?",A woman like you's no good for me,She says,So I say 'fine',Ain't No Doubt,Jimmy Nail,,,1992
https://music.youtube.com/watch?v=fG6iAyJyDq8,צפיתי בך,אה לה-לה-לה-לה-לונג,"אה לה-לה-לה-לה-לונג-לונג, לי-לונג, לונג-לונג",Ah la-la-la-la-long,Ah la-la-la-la-long,"Ah la-la-la-la-long-long, li-long, long-long",Sweat,Inner Circle,,,1992
https://music.youtube.com/watch?v=dL-ktXGTmrU,היזהר מהמתנקש,היזהר - היזהר - היזהר - היזהר,"כאן אנחנו חוזרים לקצב, הלוך ושוב כדי לגרום לך לזוז","Now I know that you got soul, there it is, put the ace in the hole",Get up to the funky music on the dance floor and just swing it,Watch out - watch out - watch out - watch out,The Hitman,AB Logic,,,2010
https://music.youtube.com/watch?v=KS-DECnoazE,"בוא כבר, לעזאזל","בוא, תן לזה בעיטה","בוא כבר, לעזאזל",So what I'm gonna do is kick in something fly and new,Get up off my back (Uh),Since you heard a change in a style,Humpin' Around,Bobby Brown,,,1992
https://music.youtube.com/watch?v=pHg7ZQYRUso,אהבה אחת,אהבה אחת,אתה חי בחושך,No more wicked people,You've got to come to see the light,"Get up and stand up, get up and stand up",One Love,Dr. Alban,,,1992
https://music.youtube.com/watch?v=5wDMb3V7dTo,לאיזה מין טיפש אתה חושב שאני?,(האם אתה לוקח אותי בחשבון?),(אבל שמעתי את כל זה קודם),I don't wanna hear your reasons,I'm not giving you another chance,What kind of fool do you take me for?,What Kind of Fool?,Kylie Minogue,,,1992
https://music.youtube.com/watch?v=ZpiEunhVs9o,"אני כל כך מאושר, כי היום מצאתי את חבריי",הם בראש שלי,"אני כל כך מכוער, זה בסדר, כי גם אתה כזה",But I'm not sure,"I killed you, I'm not gonna crack","I like it, I'm not gonna crack",Lithium,Nirvana,,,1991
https://music.youtube.com/watch?v=Jl4exIuA3F0,תן לי הזדמנות נוספת ותהיה מרוצה.,"תן לי עוד שני סיכויים, לא תידחה.","ובכן, ליבי נמצא היכן שתמיד היה","Oh now, oh yeah, here she comes",Even better than the real thing,Oh my love,Even Better Than The Real Thing,U2,,,1991
https://music.youtube.com/watch?v=0-sG4HlWpYs,בוא נדבר על שלום,נשמע כל כך קלישאתי,חידוש,"Don't tread on me, boy",We can't afford,We can't afford,Rest In Peace,Extreme,,,1992
https://music.youtube.com/watch?v=dTUOTj0ot6E,אני חייב לעמוד על שלי,החברה הזאת לא דואגת לאף אחד אחר,אני חייב להיות חזק,Look in the mirror baby,Even if I know that this world is meant to share,Even if the world that we know may not even be here,Your Mirror,Simply Red,,,1991
https://music.youtube.com/watch?v=nSN0YysStgY,צעד אחר צעד על שברי זכוכית,"צועד, צועד על זכוכית שבורה",היית הדבר הכי מתוק,Keep on walking on broken glass,Since you abandoned me,You were the sweetest thing,Walking on Broken Glass,Annie Lennox,,,1992
https://music.youtube.com/watch?v=1QN634AIjFw,אני מכיר את כל מה שיש לדעת על משחק הדמעות,שיחקתי את משחק הבכי די והותר,ראשית יש נשיקות,"And if he knows, maybe he'll explain",I've had my share of the crying game,"One day soon, I'm gonna tell the moon about the crying game",The Crying Game,Boy George,,,1993
https://music.youtube.com/watch?v=sUYa5FZTyBk,שירו הללויה!,א ב ג כמו 1 2 3,"הקצב, המקצב, הבס חברים","Sing Hallelujah, sing it","Sing Hallelujah, sing it","Sing Hallelujah, sing Hallelujah",Sing Hallelujah!,Dr. Alban,,,1992
https://music.youtube.com/watch?v=dEOmR6b0IqM,?מה זאת אהבה,"אוי, מותק, אל תפגע בי","אל תפגע בי, לא עוד",What is love?,Don't hurt me,"I know we're one, just me and you",What Is Love,Haddaway,,,1992
https://music.youtube.com/watch?v=-1hbR_Y9gE0,"מה קורה, חבר?","איו, מה קורה?","כן, מה קורה, יו?","Informer, ya' no say daddy me Snow me I go blame",De pon di phone me say dat one hour,"Yo, Snow, they came around looking for you the other day (Word?)",Informer,Snow,,,1993
https://music.youtube.com/watch?v=Qo03gfdubwo,קרוליינה!,"סובבי את גופך, בחורה",תעשה שידעו שיש לך את זה לשגע אותם,"Oh Carolina (Prowl off, jump an prance)","Oh, watch how di gyal groove","Oh Carolina (Prowl off, jump an prance)",Oh Carolina,Shaggy,,,1993
https://music.youtube.com/watch?v=UlQus_yFus0,פתח את דעתך,פתח את מחשבותיך (אה),פתח את מחשבתך (או),Open your mind,Open your mind,Open your mind (Oh),Open Your Mind,U.S.U.R.A.,,,1992
https://music.youtube.com/watch?v=WMgaPmF9Ofs,אני זוכר שתכננתי,בונה את כל עולמי סביבך,ואני זוכרתי לקוות,"I'm in misery, can't you see",We loved each other,Building my whole world around you,The Love I Lost,West End,Sybil,,1993
https://music.youtube.com/watch?v=7RtvxKtXBao,כל מה שאני רוצה לעשות זה זום-זום-זום-זום (כן),"בפום פום, תנענעי את התחת שלך (מנענע התחת)",כל מה שאני רוצה לעשות זה זום-זום-זום-זום,"Beats bound to get you up, cold flowin' like a faucet","Now since you've got the body of the year, come and get the award","In a pum pum, just shake ya rump (Rump shaker, let's break it down)",Rump Shaker,Wreckx-n-Effect,,,1992
https://music.youtube.com/watch?v=tP4HlkoIQQk,זה נכון או לא נכון?,נסה למצוא מקום,האם כולנו יכולים להשתייך?,"Let's come together, right now","Oh yeah, oh yeah, oh yeah","Oh yeah, in sweet harmony",Sweet Harmony,The Beloved,,,2000
https://music.youtube.com/watch?v=BnqUK7XF54k,נולדתי לפני זמן רב,"אני הנבחר, אני האחד",הגעתי להציל את היום,"Because, baby, I got to know, yeah",And I won't stop until I'm done,"And I got to, got to know",Are You Gonna Go My Way,Lenny Kravitz,,,1993
https://music.youtube.com/watch?v=vaLIHu0Qgi8,כשהאדם הרועד מגיע,אומה בעיניו,מפסוספס בדם וקעקוע לוהט,They say jump,He has no fear,They say jump,Jump They Say,David Bowie,,,1993
https://music.youtube.com/watch?v=mC7EkjUEa4Q,אי די די די,אִי די די די,כאן הוא המקום שבו אני אשאר,And little need to sleep but to dream,Call me when you try to wake her,Call me when you try to wake her,The Sidewinder Sleeps Tonite,R.E.M.,,,1992
https://music.youtube.com/watch?v=JEwz-NyrHTU,אני נושא את עיניי אל הציפור הקטנה,שגולש מעבר לשמיים,הוא שר את המנגינה הצלולה ביותר,I look up to the little bird,Who's weighted,I've got a feeling that it might have been blessed so,Little Bird,Annie Lennox,,,1992
https://music.youtube.com/watch?v=eLem3CyF2rk,סור אחורה,אמר לעמוד אחורה,מה עושים הכלבים האלה כשהם מרחרחים סביב רגליי?,Said stand back,"It's going to blow, it's going to break",So much better than the rest,Steam,Peter Gabriel,,,1992
https://music.youtube.com/watch?v=7evTv3TUedk,כולם שבעה ונראה אותם נופלים,הם עומדים בדרכה של האהבה ואנחנו נגרום להם להיעלם כתמרות עשן,בעל תבונה ויכולת ניהול,"That we speak not of love, only blasphemy",So don't cry,And together we'll love through all space and time,7,Prince,,,1992
https://music.youtube.com/watch?v=uWi9k0INJvk,"רוחות נעות בתוכי, בכל פעם שאני קרוב אלייך",מסתחרר כמו ציקלון במוחי,"את קו ההצלה שלי, מלאך חיי",Could this be the magic at last,"Could it be magic now, now, now and hold on fast",Answer to all answers I can find,Could It Be Magic,Take That,,,1992
https://music.youtube.com/watch?v=jF5vUrJFp5Q,"חיים, החיים לעולם לא יהיו","חיים, החיים לעולם לא יהיו כפי שהיו",הזמן נעשה קר,Time is getting cold,"Life will never be the same, life is changing","Life, life will never be",Life,Haddaway,,,1993
https://music.youtube.com/watch?v=pqiHJMFXUX8,"רקדי עכשיו, קדימה, קדימה, תני לו בבעיטה!","ברה, פפה, פפפרא, בם","בארה, פאפא, פאפפא, באם",Freestyle top with terminology,You got to let the music,Move your feet,U Got 2 Let The Music,Cappella,,,1993
https://music.youtube.com/watch?v=cjXt7ehGbDQ,עזור לי להימלט מהתחושה הזו של חוסר ביטחון,אני צריך אותך כל־כך אבל אני לא חושב שאת באמת צריכה אותי.,אבל אם כולנו נעמוד בשם האהבה,Relight my fire,Your love is my only desire,'Cause I need your love,Relight My Fire,Take That,,,1993
https://music.youtube.com/watch?v=49udk656rTk,נכתב על ידי ריקי וקים ויילד,אני אסיר שלעולם לא יכול לעזוב,מישהו שאתה משתמש בו בכל עת שתרצה,And that's why,But come tommorow you'll let me go,Written by ricki & kim wilde,Can't Get Enough,Kim Wilde,,,1990
https://music.youtube.com/watch?v=05XdjwQVdyk,מבוא:,לילה אחד בגן עדן. לילה אחד בגן עדן,לילה אחד בגן עדן. לילה אחד בגן עדן. (לילה אחד),Sometimes I get to thinking. While you are far away,"You light up my life, make me feel so alive","Just one look I can see in your face, yeah",One Night in Heaven,M People,,,1993
https://music.youtube.com/watch?v=063mYeQOqKE,תן לטיפות הגשם לרדת מטה.,ראה את אור השמש דרך העננים ו,"או או, וזה מרגיש כמו גן עדן","Oh oh, and it feels like Heaven",Feel the raindrops come falling down,"I can feel the raindrops (oh oh), I can feel the raindrops (oh oh)",Feels Like Heaven,Urban Cookie Collective,,,1993
https://music.youtube.com/watch?v=ySz9inf6tRQ,ווֹ הוֹ הוֹ,כן הוא כן,פשוט מתנדנד עם המוזיקה...,"This night is calling, I won't let it go",Yeah he yeah,I say it's allright,Rockin' To The Music,Black Box,,,1993
https://music.youtube.com/watch?v=B6GdsRIbTSk,עשרים וחמש שנים וחיי עדיין,מנסה לטפס על הגבעה הגדולה ההיא של התקווה,למען יעד,"I said ""Hey, a-what's going on?""","Ooh, uh huh",Hey-ey-ey,What's Up?,4 Non Blondes,,,1992
https://music.youtube.com/watch?v=xEyqCvOskb0,"היי, זוז אחורה ותן לאח מקום","הפתיל דולק, ואני עומד להתפוצץ!","רחמים, רחמים, רחמים עלי","(Tic, tic, tic, tic, boom!)","(Tic, tic, tic, tic, boom!)","(Boom! Shake, shake, shake the room)",Boom! Shake the Room,DJ Jazzy Jeff,the Fresh Prince,,1993
https://music.youtube.com/watch?v=AQr6BH63xDQ,"היי, אנחנו לא זמינים כרגע",אבל אם תשאיר את שמך ומספר הטלפון שלך,"נחזור אליך, אליך, אליך",My love won't hurt you (No),"I got all this love, waiting just for you","Baby, don't misunderstand, I do want you for my man",Don't Walk Away,Jade,,,1992
https://music.youtube.com/watch?v=9mSNdKHLJkQ,"או, כןכן","או, יקירתי",מממ...,When me sing I'll come,"So, baby, don't change your smile (Sweet honey), oh no, no love","Take all my body and soul, oh, girl",Tease Me,Chaka Demus,Pliers,,1993
https://music.youtube.com/watch?v=3udQPe1G5Fc,"איו, טי-רוני, אני באמת מחבבת את הבחור הזה",אבל הוא פשוט עיוור מכדי לראות את זה.,"באמת, קוקו?",That's what just I'm givin',"Have no fear (Love's gonna be, love's gonna be)","Right here (Love's gonna be, love's gonna be), my love's gonna be",Right Here,SWV,,,1992
https://music.youtube.com/watch?v=TIy3n2b7V9k,"הוא היה ילד, היא הייתה ילדה",האם אני יכול לעשות את זה ברור יותר?,"הוא היה פאנקיסט, היא עשתה בלט","He's just a boy, and I'm just a girl","He was a punk, she did ballet",About a girl you used to know,Sk8er Boi,Avril Lavigne,,,2002
https://music.youtube.com/watch?v=5NPBIwQyPWE,"אהה, ככה זה החיים","אהה, אהה","ככה זה (או, לה-לה-לה-לה-לה)",You're tryna be cool,I see the way you're,"Actin' like you're somebody else, gets me frustrated",Complicated,Avril Lavigne,,,2002
https://music.youtube.com/watch?v=4fndeDfaWCg,אתה האש שלי,המשאלה האחת,תאמין כשאני אומר,Tell me why,Ain't nothin' but a heartache,I never wanna hear you say (,I Want It That Way,Backstreet Boys,,,1999
https://music.youtube.com/watch?v=0Gl2QnHNpkA,כל עוד את אוהבת אותי,למרות שהבדידות תמיד הייתה חברה שלי,אני משאיר את חיי בידיך,Riskin' it all in a glance,Don't care what you did,As long as you're here with me,As Long As You Love Me,Backstreet Boys,,,1997
https://music.youtube.com/watch?v=6M6samPEMpM,"כולם, כן","נענע את גופך, כן","כולם, כן","Everybody, yeah",Alright!,Am I sexual? Yeah,Everybody,Backstreet Boys,,,1997
https://music.youtube.com/watch?v=Eo-KmOd3i7s,"היי, היי","ביי, ביי, ביי","ביי, ביי","Bye, bye (Baby)",It ain't no lie,"You may hate me, but it ain't no lie",Bye Bye Bye,*NSYNC,,,2000
https://music.youtube.com/watch?v=MEb2CecR11I,יה-ה-ה-ה-ה! וואו,הא-הא-הא-ה!,אולי ארוץ ואסתתר,(Life),Keeps us alive (,(Yeah) That's what makes you larger than life,Larger Than Life,Backstreet Boys,,,1999
https://music.youtube.com/watch?v=C-u5WLJ9Yk4,"אוי, מאמי, מאמי","אוי, בייבי, בייבי","או, מותק, מותק",I shouldn't have let you go,"Don't you know I still believe (When I'm not with you, I lose my mind)",That somethin' wasn't right here?,...Baby One More Time,Britney Spears,,,1999
https://music.youtube.com/watch?v=gJLIiF15wjQ,הא הא הא הא הא,"יו, אני אגיד לך מה אני רוצה, מה אני באמת, באמת רוצה","אז תגידי לי מה שאת רוצה, מה שאת באמת, באמת רוצה","Yo, I'll tell you what I want, what I really, really want","So tell me what you want, what you really, really want","Oh, what you think about that",Wannabe,Spice Girls,,,1996
https://music.youtube.com/watch?v=6Ejga4kJUts,עוד ראש תלוי בשפל,הילד נלקח באטיות,והאלימות גרמה לשתיקה כזו,"Zombie, zombie, zombie-ie-ie","In your head, in your head, they're still fightin'","Doo, doo, doo, doo",Zombie,The Cranberries,,,1994
https://music.youtube.com/watch?v=YlUKcNNmywk,מרגלים נפשיים מסין מנסים לגנוב את שמחת נפשך,ונערות קטנות משוודיה חולמות על ציטוטים מהמסך הכסוף,"ואם אתה רוצה את החלומות האלו, זה קליפורניקציה",Dream of Californication,Hardcore soft porn,A teenage bride with a baby inside getting high on information,Californication,Red Hot Chili Peppers,,,1999
https://music.youtube.com/watch?v=3YxaaGgTQYM,איך אתה יכול לראות לתוך עיניי,כמו דלתות פתוחות?,מוביל אותך אל תוך ליבי,Without a soul (Oh),"Without a thought, without a voice, without a soul",Save me,Bring Me To Life,Evanescence,Paul McCoy,,2003
https://music.youtube.com/watch?v=xat1GVnl8-k,"אה-הא! ובכן, עכשיו אנו קוראים לזה מעשה הריבוי.",אך ישנם כמה הבדלים חשובים מאוד נוספים,בין בני אדם ובעלי חיים שכדאי שתדע עליהם,"You and me, baby, ain't nothing but mammals","Love, the kind you clean up with a mop and bucket","Yes, I'm Siskel, yes, I'm Ebert and you're getting two thumbs up",The Bad Touch,Bloodhound Gang,,,1999
https://music.youtube.com/watch?v=AltMeuPkWRs,"אונו, דוס, טרס, קואטרו, סינקו, סינקו, סייס",וכל הבנות אומרות שאני ממש מגניב בשביל בחור לבן,"אחד, שתיים, שלוש, ארבע, חמש, חמש, שש","Uno, dos, tres, cuatro, cinco, cinco, seis","Uno, dos, tres, cuatro, cinco, cinco, seis",And all the girlies say I'm pretty fly for a white guy,Pretty Fly,The Offspring,,,1998
https://music.youtube.com/watch?v=L_jWHffIx5E,מישהו פעם אמר לי שהעולם הולך להגביל אותי,אני לא הכלי הכי חד בארגז הכלים,היא נראתה קצת טיפשה עם האצבע והאגודל שלה,(And all that glitters is gold),"Get the show on, get paid","Hey now, you're a rock star",All Star,Smash Mouth,,,1999
https://music.youtube.com/watch?v=CDl9ZMfj6aE,(אוי לא),כשהוא נכנס דרך החלון,היה קול של קרשנדו,"She was struck down, it was her doom","A crescendo, Annie (oh no)",He came into her apartment,Smooth Criminal,Alien Ant Farm,,,2001
https://music.youtube.com/watch?v=RYnFIRc0k6E,"בסדר, שותף","תמשיכי לזרום, יקירה",אתה יודע מה השעה,"Keep rollin', rollin', rollin', rollin' (What?)","Keep on rollin', baby","(Breathe in, now breathe out) Hands up, now hands down",Rollin',Limp Bizkit,,,2000
https://music.youtube.com/watch?v=j0lSpNtjPM8,"חתוך את חיי לחתיכות, זה המפלט האחרון שלי","חנק, בלי נשימה",לא אכפת לי אם אני פוצע את הזרוע שלי מדממת.,Don't give a fuck if I cut my arm bleeding,Cut my life into pieces,Nothing's alright,Last Resort,Papa Roach,,,2000
https://music.youtube.com/watch?v=CSvFpBOe8eY,"אנחנו מתגלגלים עם ""התאבדות""",התעורר (התעורר),תפוס מברשת ותשימי קצת איפור,"Here you go, create another fable, you wanted to","In your heart, forsaken me? Oh",Why'd you leave the keys upon the table? You wanted to,Chop Suey!,System Of A Down,,,2001
https://music.youtube.com/watch?v=CMX2lPum_pg,סוחף דרך המסיבה כאילו קוראים לי אל ניניו,כשאני מסתובב ושותה מאחורי אל קמינו,"כילד,",You be standin' on the corner talkin' all that kufuffin,'cause nobody came,But what would you expect with a conscience so small?,Fatlip,Sum 41,,,2001
https://music.youtube.com/watch?v=JTMVOzPPtiw,"בדיקה, אחד, אחד, שתיים",הגעתי לעולם הזה כנדחה,"הבט לתוך העיניים הללו, אז תראה את גובה הלהבות",I'm just gonna stay here and always be the same,I did it all for the nookie (Come on),I came into this world as a reject,Nookie,Limp Bizkit,,,1999
https://music.youtube.com/watch?v=BE9CXWV1alg,לו רק יכולנו לעוף,בסגנון לימפ ביזקיט,"ג'ון אוטו, קח אותם לגשר מת'יוז",We downloaded the Shockwave,You give a fuck about me and my generation,A-are you ready?,My Generation,Limp Bizkit,,,2000
https://music.youtube.com/watch?v=qex0OjXolzc,נראה כאילו אני אעשה הכל בעצמי.,אולי אני יכול להיעזר בקצת עזרה,"אבל לעזאזל, אתה רוצה שמשהו ייעשה כמו שצריך?",And that's when things got turned around,"But hell, you want somethin' done right?","Why'd I have to go and meet somebody like you, like you?",Boiler,Limp Bizkit,,,2000
https://music.youtube.com/watch?v=jRGrNDV2mKc,משהו לוקח חלק ממני,משהו שאבד ולעולם לא נראה,בכל פעם שאני מתחיל להאמין,"So fight, something on the ming-a-ooh",So do I,Can't I take away all this pain? (,Freak On a Leash,Korn,,,1998
https://music.youtube.com/watch?v=9QWOc0HnItM,תחשוב על זה (תחשוב על זה),רק תחשוב על זה (תחשוב על זה),"לאחרונה הייתי ספקן, שותק כשבעבר הייתי מדבר.",(Think about it),"So you leave, and I can't believe all the bullshit that I find",I'd love to be the one to disappoint you when I don't fall down,Re-Arranged,Limp Bizkit,,,1999
https://music.youtube.com/watch?v=Ypkv0HeUvTc,היינו גולשים על העיר,הַרְגוּ כָּל אֲשֶׁר לֹא הָיָה יָפֶה,ואינני רוצה אותך ואינני זקוק לך,Hate every motherfucker that's in your way,"(Ah, ah)","The beautiful people, the beautiful people",The Beautiful People,Marilyn Manson,,,1996
https://music.youtube.com/watch?v=rn_YodiJO6k,"כמה זמן, כמה זמן אשקע?","ובכן, הפרד את הצד שלי","אני לא, אני לא מאמין שזה רע",Take it on the otherside,A candidate for the soul mate bled,"Mmm, pull the trigger and I pull the thread",Otherside,Red Hot Chili Peppers,,,1999
https://music.youtube.com/watch?v=7QU1nvuxaMA,על צהריים של קורי עכביש בחדר מלא ריקנות,"ליד הכביש המהיר, מודה, אבדתי בין הדפים","מספר מלא במוות, קוראים איך נמות לבד","In your house, I long to be",For all that I've blessed and all that I've wronged,I'll wait for you there like a stone,Like a Stone,Audioslave,,,2002
https://music.youtube.com/watch?v=eW2qlKa6oHw,חיפשתי אותך,שמעתי זעקה בתוך נשמתי,מעולם לא חוויתי כמיהה כזו בעבר.,I wonder if I'll ever see you again,I know we could win,I wonder if I'll ever see you again?,Again,Lenny Kravitz,,,2000
https://music.youtube.com/watch?v=1lyu1KKwC74,כי זו סימפוניה מַרְקוּ פרָה — זה החיים,"מנסה להסתדר כלכלית, אתה עבד לכסף ואז אתה מת",אוריד אותך בדרך היחידה שהלכתי בה,"I let the melody shine, let it cleanse my mind, I feel free now",Ever been down,I can't change my mould,Bitter Sweet Symphony,The Verve,,,1997
https://music.youtube.com/watch?v=fV4DiAyExN0,אני לא אדם מושלם,יש הרבה דברים שהלוואי ולא הייתי עושה,אך אני ממשיך ללמוד,I've found a reason for me,I'm sorry that I hurt you,I never meant to do those things to you,The Reason,Hoobastank,,,2004
https://music.youtube.com/watch?v=xwtdhWltSIg,"הו, חיים, הם גדולים יותר",זה גדול ממך,ואתה אינך אני,"Just a dream, dream",Losin' my religion,And you are not me,Losing My Religion,R.E.M.,,,1991
https://music.youtube.com/watch?v=5rOiW_xY-kc,כשהיום שלך ארוך,"והלילה, הלילה הוא רק שלך",כשאתה בטוח שמספיק לך,Everybody hurts,If you're on your own in this life,Everybody hurts,Everybody Hurts,R.E.M.,,,1992
https://music.youtube.com/watch?v=TR3Vdo5etCQ,אתה ואני,היינו פעם יחד,"בכל יום יחד, תמיד",I know what you're sayin',And I don't need your reasons,Don't tell me 'cause it hurts,Don't Speak,No Doubt,,,1995
https://music.youtube.com/watch?v=CduA0TULnow,"ממ, כן","כן, כן, כן, כן, כן, כן","כן, כן, כן, כן, כן, כן",'Cause to lose all my senses,"Got lost in the game, oh, baby, baby",I'm not that innocent,Oops!...I Did It Again,Britney Spears,,,2000
https://music.youtube.com/watch?v=t0bPrt69rag,אתה אומר לי שאתה מאוהב בי,כאילו אינך יכול להסיר ממני את עיניך היפות,זה לא שאני לא רוצה להישאר,Sometimes I'm scared of you,Sometimes I hide,Sometimes I hide,Sometimes,Britney Spears,,,1999
https://music.youtube.com/watch?v=PZYSiWHW8V0,"אני צריך זמן, אהבה, שמחה","אני זקוק למרחב, אהבה",אני צריך... אותי,"I say no, no, nobody's telling me just what I wanna do, do","What am I to do with my life? (You will find it out, don't worry)","What I, what, what, what I'm gonna do about my destiny",Overprotected,Britney Spears,,,2001
https://music.youtube.com/watch?v=AJWtLf4-WWs,"או, היי, כן","שקט, פשוט תפסיק",אין שום דבר שאתה יכול לעשות או לומר (מותק),Than I ever thought that I could be (Baby),Now it’s nothing but my way,You might think that I can't take it,Stronger,Britney Spears,,,2000
https://music.youtube.com/watch?v=Q4VK9_CfOLQ,ק-פדרליין!,"בוסקו, הצלחנו על זה, אחי!",והם אומרים,"Been the million dollar corporation, call me aloof",Fed up of negative fabrications,Got dudes wishing you're in my shoes,Crazy,Britney Spears,,,1999
